1,1.012451041
2,1.0149000206
3,1.0173572459
4,1.0198062255
5,1.0222552051
6,1.0247041847
7,1.0271531643
8,1.0296021439
9,1.0320511235
10,1.0345001031
11,1.0369573284
12,1.039406308
13,1.0418552876
14,1.0443042672
15,1.0467532468
16,1.0492022263
17,1.0516512059
18,1.0541001855
19,1.0565574108
20,1.0590063904
21,1.06145537
22,1.0639043496
23,1.0663533292
24,1.0688023088
25,1.0712512884
26,1.073700268
27,1.0761574933
28,1.0786064729
29,1.0810554525
30,1.0835044321
31,1.0859534117
32,1.0884023913
33,1.0908513709
34,1.0933003504
35,1.0957575758
36,1.0982065553
37,1.1006555349
38,1.1031045145
39,1.1055534941
40,1.1080024737
41,1.1104514533
42,1.1129004329
43,1.1153576582
44,1.1178066378
45,1.1202556174
46,1.122704597
47,1.1251535766
48,1.1276025562
49,1.1300515358
50,1.1325005154
51,1.1349577407
52,1.1374067203
53,1.1398556999
54,1.1423046794
55,1.144753659
56,1.1472026386
57,1.1496516182
58,1.1521005978
59,1.1545578231
60,1.1570068027
61,1.1594557823
62,1.1619047619
63,1.1643537415
64,1.1668027211
65,1.1692517007
66,1.1717006803
67,1.1741579056
68,1.1766068852
69,1.1790558648
70,1.1815048444
71,1.183953824
72,1.1864028035
73,1.1888517831
74,1.1913007627
75,1.193757988
76,1.1962069676
77,1.1986559472
78,1.2011049268
79,1.2035539064
80,1.206002886
81,1.2084518656
82,1.2109008452
83,1.2133580705
84,1.2158070501
85,1.2182560297
86,1.2207050093
87,1.2231539889
88,1.2256029685
89,1.2280519481
90,1.2305009276
91,1.232958153
92,1.2354071325
93,1.2378561121
94,1.2403050917
95,1.2427540713
96,1.2452030509
97,1.2476520305
98,1.2501010101
99,1.5
